style,medal,beer,brewery,state
Other Strong Ale or Lager,Ouro,Leopoldina Barley Wine Safra 2019,Cervejaria Leopoldina,RS
Other Strong Ale or Lager,Prata,Other Strong,Cervejaria Salva,RS
Other Strong Ale or Lager,Bronze,Strong Porter,Cervejaria Bellbrück,SC
Pumpkin Spice Beer,Ouro,Doçuras Ou Travessuras?,Cervejaria Dona Cevada,SC
Pumpkin Spice Beer,Prata,Abróba,Cervejaria 3 Orelhas,MG
Pumpkin Spice Beer,Bronze,Christine,Old Car Brewpub,PR
Robust Porter,Ouro,Compass Ellen,Cervejaria Stannis,SC
Robust Porter,Prata,Mills - Cacau Porter,Mills,MG
Robust Porter,Bronze,Tendel Porter,Tendel,SC
Scotch Ale or Wee Heavy,Ouro,Scotch Ale,Cervejaria Salva,RS
Scotch Ale or Wee Heavy,Prata,Edelbrau Wee Heavy,Cervejaria Edelbrau,RS
Scotch Ale or Wee Heavy,Bronze,Bodebrown Wee Heavy,Cervejaria Bodebrown Ltda,PR
Scottish-Style Export Ale,Ouro,Cherokee - Red Ale,Cervejaria Cherokee,SC
Scottish-Style Export Ale,Prata,Dreams Annie,Cervejaria Stannis,SC
Scottish-Style Export Ale,Bronze,Jack Highland,Big Jack Cervejaria,SC
Scottish-Style Light Ale,Ouro,Red Ale,Água Do Monge Cervejaria,PR
Scottish-Style Light Ale,Prata,Cherokee - Levinha Escocesa,Cervejaria Cherokee,SC
Session Beer,Ouro,Atlantis,Almirante Cervejaria Artesanal,SC
Session Beer,Prata,Kamille,Cervejaria Seo Carneiro,SP
Session India Pale Ale,Ouro,Reptilia Session Ipa,Cervejaria Unika,SC
Session India Pale Ale,Prata,Session Ipa Cubículo,Cervejaria Base,SP
Session India Pale Ale,Bronze,Mills - Delorean,Mills,MG
Smoke Beer,Ouro,Lassberg Smoke Beer,Cervejaria Lassberg,SC
Smoke Porter,Prata,Cosvesi Smoked Porter,Cosvesi,SP
South German-Style Bernsteinfarbenes Weizen,Bronze,Drama Elza,Cervejaria Stannis,SC
South German-Style Hefeweizen,Ouro,Das Bier - Das Bier Weizen,Das Bier Cervejaria,SC
South German-Style Hefeweizen,Prata,Galeza Galo Branco Weiss,Cervejaria Paralelo 30,RS
South German-Style Hefeweizen,Bronze,Mr. Brew - Weizen,Mr. Brew Cervejaria,SC
South German-Style Kristal Weizen,Ouro,Tendel Kristal Weizen,Tendel,SC
South German-Style Kristal Weizen,Bronze,Black Princess Doctor Weiss,Cervejaria Grupo Petrópolis,SP
South German-Style Weizenbock,Ouro,Sampler - Weizenbock,Sampler Brew House,RJ
South German-Style Weizenbock,Prata,Bierbaum Weizenbock,Cervejaria Bierbaum,SC
South German-Style Weizenbock,Bronze,High Hilda,Cervejaria Stannis,SC
Special Bitter or Best Bitter,Ouro,Satisfaction,Vila Dionísio,SP
Special Bitter or Best Bitter,Prata,Space Queen,Nave,RS
Special Bitter or Best Bitter,Bronze,Amarillo Best Bitter,Cervejaria Amarillo,SP
Specialty Beer,Ouro,Alpendorf Imperial Gose Caramelo Salgado,Cervejaria Alpendorf,RJ
Specialty Beer,Prata,Leopoldina Brut Sur Lie Safra 2024,Cervejaria Leopoldina,RS
Specialty Beer,Bronze,5 Elementos - Coffee & Pancake Brunch Stout,Cervejaria Turatti,CE
Specialty Honey Beer,Ouro,Colorado Appia,Cervejaria Colorado,SP
Specialty Honey Beer,Prata,Penedon Honey Bock,Cervejaria Penedon,RJ
Specialty Honey Beer,Bronze,True Tarcila,Cervejaria Stannis,SC
Specialty Saison,Ouro,Saison Lavanda,Oripacha,RS
Specialty Saison,Prata,Saisson Do Porto,Eh Brewing Co.,PR
Specialty Saison,Bronze,Maniacs Saison Vieille,Maniacs Brewing Co.,PR
Strong Ale,Ouro,Barley Wine #2,Faroeste Beer,SC
Strong Ale,Prata,Strong Ale,Cervejaria Bellbrück,SC
Swedish-Style Gotlandsdricke,Ouro,Karsten Ragnarök,Cervejaria Karsten,SC
Swedish-Style Gotlandsdricke,Prata,Patanegra Gotlandsdricke,Cervejaria Patanegra,PR
Sweet Stout or Cream Stout,Ouro,Galeza Galo Lanceiro Stout,Cervejaria Paralelo 30,RS
Sweet Stout or Cream Stout,Prata,Hunsruck Milk Stout,Cervejaria Hunsruck,RS
Sweet Stout or Cream Stout,Bronze,Caracu,Cervejaria Ambev,RJ
Traditional Belgian-Style Gueuze,Ouro,Ying-Young,Cervejaria Stannis,SC
Traditional Belgian-Style Gueuze,Bronze,Gueuze Jack 2025,Big Jack Cervejaria,SC
Traditional German-Style Bock,Prata,Vemaguet 67 - Reboque,Vemaguet 67,SP
Traditional German-Style Bock,Bronze,Therezópolis Rubine,Cerveja Therezópolis,SP
Vienna-Style Lager,Ouro,Frida Anna,Segredos Do Malte,SC
Vienna-Style Lager,Prata,Browe! Vienna Lager,Cervejaria Browe,SP
Vienna-Style Lager,Bronze,Alles Blau - Alles Blau Vienna Lager,Cervejaria Alles Blau,SC
West Coast-Style India Pale Ale,Ouro,Cervejaria Pio Décimo - Hades,Cervejaria Pio Décimo,RS
West Coast-Style India Pale Ale,Prata,Blauer Berg Ipa West Coast,Blauer Berg Cervejaria,SC
West Coast-Style India Pale Ale,Bronze,Antonella,Cervejaria Divino Malte,PR
West Coast-Style Pilsener,Ouro,Shorebreak Ipl,Cervejaria Barra Sul,SC
West Coast-Style Pilsener,Prata,West Coast Feelings,Nordus Cervejaria,SC
West Coast-Style Pilsener,Bronze,Urwald Hop Lager,Cervejaria Urwald,RS
Wild Beer,Ouro,Manioko Cajú,Cervejaria Prisma,SP
Wild Beer,Prata,Saison Niagara,Água Do Monge Cervejaria,PR
Wild Beer,Bronze,Acácia Selvagem,Hespanha Brewery,PR
Wood & Barrel Aged Beer,Ouro,Barley Wine Dueto,Cervejaria Maestro,SC
Wood & Barrel Aged Beer,Prata,Cervejaria Turatti - Eclipse Frances,Cervejaria Turatti,CE
Wood & Barrel Aged Beer,Bronze,Cherokee - Yona Barley Wine,Cervejaria Cherokee,SC
Wood- and Barrel-Aged Sour Beer,Prata,Space Nebula,Cervejaria Stannis,SC
Wood- and Barrel-Aged Sour Beer,Bronze,"Jybá Sour De Goiaba, Goiabada, Marmelo E Marmelada",Cervejaria Jybá,MG
