style,medal,beer,brewery,state
Belgian-Style Blonde Ale,Ouro,Blauer Berg Blond Ale,Blauer Berg Cervejaria,SC
Belgian-Style Blonde Ale,Prata,Leopoldina - Leopoldina Blond Ale,Cervejaria Leopoldina,RS
Belgian-Style Blonde Ale,Bronze,Dna Belgian Blond,Dna Beer,RS
Belgian-Style Dubbel,Prata,Monnik Arnold,Faroeste Beer,SC
Belgian-Style Dubbel,Bronze,Belgian Dubbel #2,Faroeste Beer,SC
Belgian-Style Flanders Oud Bruin or Oud Red Ale,Ouro,Scarlett Flanders,Cervejaria Stannis,SC
Belgian-Style Flanders Oud Bruin or Oud Red Ale,Prata,Arquiduquesa De Galló,Selezione Shop,RS
Belgian-Style Fruit Beer,Ouro,Baronesa Framboise,Ade Bier Cervejaria,PR
Belgian-Style Fruit Beer,Prata,Cupuaçu Saison Collab I Lupi E Três Santas,I Lupi Cervejaria,ES
Belgian-Style Fruit Beer,Bronze,Amicizia,Birrificio Frisanco,SC
Belgian-Style Fruit Lambic,Ouro,Lobos Fruit Lambic,Cervejaria Lobos,PR
Belgian-Style Fruit Lambic,Prata,Mother Gaia,Cervejaria Stannis,SC
Belgian-Style Lambic,Prata,Goddess Calíope,Cervejaria Stannis,SC
Belgian-Style Quadrupel,Ouro,Sax,Casa Do Malte,SC
Belgian-Style Quadrupel,Prata,Quadrupel,Hank Bier,PR
Belgian-Style Quadrupel,Bronze,Quadrupel Charas,Charas Beer,RS
Belgian-Style Session Ale,Ouro,Witbier Low Alcohol,Marchand Beer Co.,SC
Belgian-Style Session Ale,Prata,Eva Witbier,Bucovina Cervejaria,PR
Belgian-Style Speciale Belge,Ouro,Bela Belga,Charas Beer,RS
Belgian-Style Speciale Belge,Prata,Tendel Belgian Pale Ale,Tendel,SC
Belgian-Style Strong Blonde Ale,Bronze,Psychose Belgian Strong Ale,Cervejaria Nut Bier,PR
Belgian-Style Strong Dark Ale,Ouro,Ahuiateteo,Cervejaria Nahualli,RS
Belgian-Style Strong Dark Ale,Prata,Edelbrau Belgian Dark Strong Ale,Cervejaria Edelbrau,RS
Belgian-Style Strong Dark Ale,Bronze,Cerveja Bodebrown 4 Blés - Le Club 4 Blès Milléssime 2025,Cervejaria Bodebrown Ltda,PR
Belgian-Style Table Beer,Ouro,Table Beer,Cervejaria Bellbrück,SC
Belgian-Style Table Beer,Prata,Cherokee - Mesa Belga,Cervejaria Cherokee,SC
Belgian-Style Tripel,Ouro,Leopoldina Tripel,Cervejaria Leopoldina,RS
Belgian-Style Tripel,Prata,Tripel,Hank Bier,PR
Belgian-Style Tripel,Bronze,Eva Tripel,Bucovina Cervejaria,PR
Belgian-Style Witbier,Ouro,(048) Witbier,Cervejaria 048 Ltda,SC
Belgian-Style Witbier,Prata,Chuquinha,Cervejaria Divino Malte,PR
Belgian-Style Witbier,Bronze,Leopoldina - Leopoldina Witbier,Cervejaria Leopoldina,RS
Berliner-Style Weisse,Ouro,Sour De Caju,Proa Cervejaria,BA
Berliner-Style Weisse,Prata,Tropical Base,Hank Bier,PR
Berliner-Style Weisse,Bronze,Dádiva Cara De Piscina Caju,Cervejaria Dádiva,SP
Breslau-Style Schoeps,Ouro,Schoeps,Cervejaria Bellbrück,SC
Brett Beer,Prata,Leopoldina - Leopoldina Tripel Bret,Cervejaria Leopoldina,RS
British-Style Barley Wine Ale,Ouro,La Birra Barley Wine,La Birra Cervejaria,RS
British-Style Barley Wine Ale,Bronze,Karsten Barley Wine,Cervejaria Karsten,SC
British-Style Imperial Stout,Ouro,Só Ris E Nada Mais,Big Jack Cervejaria,SC
British-Style Imperial Stout,Prata,Ris,Cervejaria Sarau,SC
British-Style Imperial Stout,Bronze,Cerveja Do Funil - Imperial Stout,Cervejaria Do Funil,MG
British-Style India Pale Ale,Ouro,Lovely Day,Alright Brewing Co.,PR
British-Style India Pale Ale,Prata,Brux Ipa,Brux Beer,PR
British-Style India Pale Ale,Bronze,Brotherhood,Hop Bros Cervejaria,AL
Brown Porter,Ouro,Dorothy Porter,Cervejaria Divino Malte,PR
Brown Porter,Prata,Porter - Tex Beer,Tex Beer Cervejaria Artesanal Ltda,SP
Brown Porter,Bronze,Velha Guarda,Big Jack Cervejaria,SC
Catharina Sour,Ouro,Pina Colada - Catharina Sour Com Abacaxi E Coco,Faroeste Beer,SC
Catharina Sour,Prata,Catharina Sour Goiacuja,Omas Haus Brewpub,SC
Catharina Sour,Bronze,Mandacaru,Liffey,SC
Cerveja com Madeira Brasileira (Brazilian Wood- and Barrel-Aged Beer),Ouro,Terminus 2026,Daoravida Brewpub,SP
Cerveja com Madeira Brasileira (Brazilian Wood- and Barrel-Aged Beer),Prata,Terminus 2025,Daoravida Brewpub,SP
Cerveja com Madeira Brasileira (Brazilian Wood- and Barrel-Aged Beer),Bronze,Pinganimim Tarvos,Cervejaria Tarvos,ES
Cerveja Experimental com Madeira Brasileira (Experimental Brazilian Wood- and Barrel-Aged Beer),Prata,Colombina Poema,Cerveja Colombina,GO
Cerveja Experimental com Madeira Brasileira (Experimental Brazilian Wood- and Barrel-Aged Beer),Bronze,Patanegra Imperial Cocoarana,Cervejaria Patanegra,PR
Cerveja Ácida com Madeira Brasileira (Brazilian Wood- and Barrel-Aged Sour Beer),Ouro,Patanegra Cacacu Wood,Cervejaria Patanegra,PR
Cerveja Ácida com Madeira Brasileira (Brazilian Wood- and Barrel-Aged Sour Beer),Prata,Lobos Wood And Sour,Cervejaria Lobos,PR
Cerveja Ácida com Madeira Brasileira (Brazilian Wood- and Barrel-Aged Sour Beer),Bronze,Flora Fractal,Fermentaria Local,SP
Chili Pepper Beer,Ouro,Muerto Pero No Mucho!,Cervejaria Karsten,SC
Chili Pepper Beer,Prata,Cervejaria Green Coast - Tripel,Cervejaria Green Coast,SC
Chocolate or Cocoa Beer,Ouro,Mexicana Bob Nibs,Faroeste Beer,SC
Chocolate or Cocoa Beer,Prata,Ipa Cacau,Faroeste Beer,SC
Chocolate or Cocoa Beer,Bronze,Risca Faca Imperial Stout,Cervejaria Vierbrauer,PB
Classic Australian-Style Pale Ale,Ouro,Classic Australian Pale Ale,Cervejaria Bellbrück,SC
Classic Australian-Style Pale Ale,Prata,Session Ipa,Cervejaria Salva,RS
Classic Australian-Style Pale Ale,Bronze,Lassberg Classic Australian Apa,Cervejaria Lassberg,SC
Classic English-Style Pale Ale,Ouro,Cervejaria Do Funil - Funil Ipa,Cervejaria Do Funil,MG
Classic English-Style Pale Ale,Bronze,Vemaguet 67 - Turbinada,Vemaguet 67,SP
Classic French & Belgian-Style Saison,Ouro,Cabula,Big Jack Cervejaria,SC
Classic French & Belgian-Style Saison,Prata,Forbidden Saison,Cervejaria Teoria Do Caos,SC
Classic French & Belgian-Style Saison,Bronze,Saison,Cambuí Cervejaria E Bar De Estar,DF
Classic Irish-Style Dry Stout,Ouro,Dublin Mist,Marchand Beer Co.,SC
Classic Irish-Style Dry Stout,Prata,Midnight Train,Hank Bier,PR
Classic Irish-Style Dry Stout,Bronze,Stout,Cervejaria Brusque,SC
Coffee Beer,Ouro,Cervejaria Louvada - Louvada Pilsen,Cervejaria Louvada,MT
Coffee Beer,Prata,Comcafé Jacu,Três Torres,ES
Coffee Beer,Bronze,O Dragão Acordou,Cervejaria Salva,RS
Contemporary American-Style Lager,Ouro,Stier Bier Pilsen,Cervejaria Stier,RS
Contemporary American-Style Lager,Prata,Edelbrau Pilsen,Cervejaria Edelbrau,RS
Contemporary American-Style Lager,Bronze,Fredericia Pilsen,Fredericia,SP
Contemporary American-Style Light Lager,Ouro,Hunsruck German Michels,Cervejaria Hunsruck,RS
Contemporary American-Style Light Lager,Prata,Stier Festbier,Cervejaria Stier,RS
Contemporary American-Style Light Lager,Bronze,Diva Lager,Cervejaria Divino Malte,PR
Contemporary American-Style Pilsener,Ouro,Hop Lager,277 Craft Beer,PR
Contemporary American-Style Pilsener,Prata,Dama Hop Lager,Dama Bier,SP
Contemporary American-Style Pilsener,Bronze,Summer Splash,Hermosa Beer Company,RS
Contemporary Belgian-Style Spontaneous Fermented Ale,Ouro,Reserva Local,Fermentaria Local,SP
Contemporary Belgian-Style Spontaneous Fermented Ale,Prata,Rubra De Fazenda 2025,Cervejaria Endemic,SC
Contemporary Belgian-Style Spontaneous Fermented Ale,Bronze,Lobos Spontaneous,Cervejaria Lobos,PR
Contemporary-Style Gose,Ouro,Tropical Gose,Hank Bier,PR
Contemporary-Style Gose,Prata,Danken Limón Gose,Danken Cervejaria,RS
Contemporary-Style Gose,Bronze,(048) Gose Goiaba E Alecrim,Cervejaria 048 Ltda,SC
Czech-Style Amber Lager,Prata,Kaingang Czech Amber Lager,Kaingang Cervejaria,SC
Czech-Style Dark Lager,Ouro,Tendel Czach Dark Lager,Tendel,SC
Czech-Style Dark Lager,Prata,Space Traveler,Paloma Craft Beer,RS
Czech-Style Dark Lager,Bronze,Czech Dark Lager,Musaranho,SC
Czech-Style Pale Lager,Ouro,Bohemian Pilsener,Alright Brewing Co.,PR
Czech-Style Pale Lager,Prata,Ponte Herícilio Luz,Natural Beer,SC
Czech-Style Pale Lager,Bronze,Orloj,Ritual Cervejaria,SC
Dessert Stout or Pastry Stout,Ouro,5 Elementos/Mindubier Salted Caramel,Cervejaria Turatti,CE
Dessert Stout or Pastry Stout,Prata,Peanutcake Yin,Ritual Cervejaria,SC
Dessert Stout or Pastry Stout,Bronze,"(048) Pastry Stout Banana Passa, Baunilha E",Cervejaria 048 Ltda,SC
Dortmunder/European-Style Export,Ouro,Canela Faroeste Export,Faroeste Beer,SC
Dortmunder/European-Style Export,Bronze,Curicaca Gold,Cervejaria Flagra,PR
Double Hoppy Red Ale,Ouro,Diva Do Lago,Cervejaria Divino Malte,PR
Double Hoppy Red Ale,Prata,Double Hoppy Red Ale,Cervejaria Bellbrück,SC
Double Hoppy Red Ale,Bronze,Hells Bells,Armada Cervejeira,SC
"Dutch-Style Kuit, Kuyt or Koyt",Bronze,Kaaskop,Cervejaria Seo Carneiro,SP
English-Style Brown Ale,Ouro,Seu Fausto,Cervejaria Divino Malte,PR
English-Style Brown Ale,Prata,Búzios Ponta Do Pai Vitório,Cervejaria Búzios,RJ
English-Style Brown Ale,Bronze,Salvador Brewing Co. - Dog Fight Brown Ale,Salvador,RS
English-Style Dark Mild Ale,Ouro,Dom Rodrigo,Cervejaria Divino Malte,PR
English-Style Dark Mild Ale,Prata,Until Dawn,Cervejaria Stannis,SC
English-Style Dark Mild Ale,Bronze,Old Tavern,Big Jack Cervejaria,SC
English-Style Pale Mild Ale,Prata,English Series 1,Big Jack Cervejaria,SC
English-Style Summer Ale,Ouro,English Summer Ale,Cervejaria Salva,RS
English-Style Summer Ale,Prata,Búzios Olho De Boi,Cervejaria Búzios,RJ
English-Style Summer Ale,Bronze,Grecia Bier,Both Bier,SC
European-Style Dark Lager,Ouro,Gold Ebony Dark Munich,Giffa,SP
European-Style Dark Lager,Prata,Eisenbahn Dunkel,Hnk Br Industria De Bebidas Ltda,SP
European-Style Dark Lager,Bronze,La Birra Schwarzbier,La Birra Cervejaria,RS
Experimental Beer,Ouro,Cappuccino Gelado,Cervejaria Salva,RS
Experimental Beer,Prata,5 Elementos - Guava Cheesecake,Cervejaria Turatti,CE
Experimental Beer,Bronze,Bodebrown Double Perigosa 18%,Cervejaria Bodebrown Ltda,PR
Experimental India Pale Ale,Ouro,Lemon Dragon,Big Jack Cervejaria,SC
Experimental India Pale Ale,Prata,Nature Brut,Três Torres,ES
Experimental India Pale Ale,Bronze,Mel Da Goiaba,Donkey Head Cervejaria,CE
Export-Style Stout,Ouro,Dama Bier - Dama Stout,Dama Bier,SP
Export-Style Stout,Prata,Wamahoy Extra Stout,Wamahoy Classic Beers,PR
Export-Style Stout,Bronze,Fil Stout,Cervejaria Fil,RS
Extra Special Bitter,Ouro,English Serelepe Brasileira,Caatinga Rocks,AL
Extra Special Bitter,Prata,Cascahell,Cervejaria Providência,PR
Extra Special Bitter,Bronze,Ashby British Strong Ale,Cervejaria Ashby,SP
Field Beer,Ouro,To Com Amendoin Cheio,Cervejaria Salva,RS
Field Beer,Prata,Cajuina,Minke Cervejaria,SC
Field Beer,Bronze,Sour Ale Com Abacaxi E Coco,Faroeste Beer,SC
Finnish-Style Sahti,Prata,Biertal Sahti,Cervejaria Biertal,SC
Finnish-Style Sahti,Bronze,Singing Vikman,Cervejaria Stannis,SC
Franconian-Style Rotbier,Prata,Buckel Red Ale La Roja,Buckel Cervejaria,RS
Franconian-Style Rotbier,Bronze,Franconian Rotbier,Cervejaria Canecão,SC
Fresh Hop Beer,Ouro,Explosão Nacional,Cervejaria Bellbrück,SC
Fresh Hop Beer,Prata,Feel The Freshness,Cervejaria Stannis,SC
Fresh Hop Beer,Bronze,Honky Tonk Nerso,Hank Bier,PR
Fruit Wheat Beer,Ouro,Lassberg Fruit Beer,Cervejaria Lassberg,SC
Fruit Wheat Beer,Prata,Cajá Naif,Curiango Brew - Cervejas Especiais,TO
Fruit Wheat Beer,Bronze,Fruit Beer Caju,Curiango Brew - Cervejas Especiais,TO
German-Style Doppelbock,Ouro,Big Jack Doppelbock,Big Jack Cervejaria,SC
German-Style Doppelbock,Prata,Karsten Doppelbock,Cervejaria Karsten,SC
German-Style Doppelbock,Bronze,Jejum Do Alligator,Big Jack Cervejaria,SC
German-Style Eisbock,Ouro,Eis-Eis Edelweiss,Cervejaria Stannis,SC
German-Style Eisbock,Bronze,Xiuhte,Cervejaria Nahualli,RS
German-Style Koelsch,Ouro,Himmel Kölsch,Himmel Bier,RS
German-Style Koelsch,Prata,Big Jack Cologne,Big Jack Cervejaria,SC
German-Style Koelsch,Bronze,1824 Imigração Hop Lager,Cervejaria Imigração 1824,RS
German-Style Leichtbier,Ouro,Stier Ultra,Cervejaria Stier,RS
German-Style Leichtbier,Prata,Dolomitas German Pils,Cervejaria Dolomitas,PR
German-Style Maerzen,Ouro,Urwald Oktoberfest,Cervejaria Urwald,RS
German-Style Maerzen,Prata,Maerzen Heidi,Cervejaria Stannis,SC
German-Style Maerzen,Bronze,Capital Da Amizade,Cervejaria Divino Malte,PR
German-Style Oktoberfest/Festbier,Ouro,1824 Imigração Oktoberfest,Cervejaria Imigração 1824,RS
German-Style Oktoberfest/Festbier,Prata,Karsten Munich Helles,Cervejaria Karsten,SC
German-Style Pilsener,Ouro,Querência,Paisano Brew Co,RS
German-Style Pilsener,Prata,Urwald German Pilsner,Cervejaria Urwald,RS
German-Style Pilsener,Bronze,Frohenfeld Pils,Frohenfeld Craft Brewery,PR
German-Style Rye Ale,Bronze,Bavarian Jack,Big Jack Cervejaria,SC
German-Style Schwarzbier,Prata,Edelbrau Dunkel,Cervejaria Edelbrau,RS
German-Style Schwarzbier,Bronze,Dark Lager,Cruls Cervejaria Artesanal,DF
Gluten-Free Beer,Ouro,Cajuzada De Morango Glúten Que Lute,Cervejaria Salva,RS
Gluten-Free Beer,Prata,Turatti Ultra Low Carb,Cervejaria Turatti,CE
Gluten-Free Beer,Bronze,Brew Up - Hoppy Hour Sem Glúten,Brew Up,RS
Golden or Blonde Ale,Prata,Rock Blondie,Cervejaria Stannis,SC
Grodziskie,Ouro,Piwo Zoja,Cervejaria Stannis,SC
Herb and Spice Beer,Ouro,Venner,Gård Cervejaria,SP
Herb and Spice Beer,Prata,Dazchen Christmas Ale,Däzchen Cervejas Especiais,SC
Herb and Spice Beer,Bronze,5 Elementos - Reserve 2025,Cervejaria Turatti,CE
Historical Beer,Ouro,"Thanks, Hildegarde!",Cervejaria Stannis,SC
Historical Beer,Prata,Grisette,Omas Haus Brewpub,SC
Imperial Red Ale,Ouro,Assanhada,Cervejaria Divino Malte,PR
International Light Lager,Ouro,Skol Pilsen,Cervejaria Ambev,RJ
International Light Lager,Prata,Jack Light,Big Jack Cervejaria,SC
International Light Lager,Bronze,Galeza Galo Véio Pilsen,Cervejaria Paralelo 30,RS
International-Style Pale Ale,Ouro,Malvada,Cervejaria Divino Malte,PR
International-Style Pale Ale,Prata,Jack Viajante,Big Jack Cervejaria,SC
International-Style Pale Ale,Bronze,Lassberg International Pale Ale,Cervejaria Lassberg,SC
International-Style Pilsener,Prata,Dolomitas International Pilsener,Cervejaria Dolomitas,PR
International-Style Pilsener,Bronze,Danken Pils,Danken Cervejaria,RS
Irish-Style Red Ale,Ouro,The Red Leprechau,Bergerbier,ES
Irish-Style Red Ale,Prata,Amadeus Red Ale,Cervejaria Amadeus,PR
Irish-Style Red Ale,Bronze,Rotula Bier Red Ale,Cervejaria Rótula Bier,RS
Italian Grape Ale,Ouro,Leopoldina - Leopoldina Italian Grape Ale Moscato,Cervejaria Leopoldina,RS
Italian Grape Ale,Prata,Leopoldina Chardonnay Safra 2025,Cervejaria Leopoldina,RS
Italian Grape Ale,Bronze,Bordô Spritz,Cantina Mascaron,RS
Italian-Style Pilsener,Ouro,Cervejaria Leopoldina - Leopoldina Pilsner Extra,Cervejaria Leopoldina,RS
Italian-Style Pilsener,Bronze,Italian Pilsener,Big Jack Cervejaria,SC
Juicy or Hazy Imperial or Double India Pale Ale,Ouro,Nz Hazy Ipa,Marchand Beer Co.,SC
Juicy or Hazy Imperial or Double India Pale Ale,Bronze,Pass The Dutchie,Cervejaria Vitruviana,SP
Juicy or Hazy India Pale Ale,Ouro,Skunk Juicy Ipa,Cervejaria Unika,SC
Juicy or Hazy India Pale Ale,Prata,Stoked Nights,Locals Only Brewing Co.,SP
Juicy or Hazy India Pale Ale,Prata,Cachorro Ovelheiro Hazy Ipa,Cervejaria Guarnieri,RS
Juicy or Hazy India Pale Ale,Bronze,Acadiana,Três Torres,ES
Juicy or Hazy Pale Ale,Ouro,Mills - Efêmera #6,Mills,MG
Juicy or Hazy Pale Ale,Prata,Hop Burst,Balbúrdia Cervejaria,SC
Juicy or Hazy Pale Ale,Bronze,Hazy Ipa Pina Colada,Charas Beer,RS
Juicy or Hazy Strong Pale Ale,Ouro,Atrás Do Bloco,Cervejaria Landel,SP
Juicy or Hazy Strong Pale Ale,Bronze,Drogas Siderais,Nave,RS
Kellerbier or Zwickelbier,Ouro,Kellerbier Series - Bohemian Pilsener,Big Jack Cervejaria,SC
Kellerbier or Zwickelbier,Prata,Chopp Nops Filtro,Senhor Do Malte,RS
Kellerbier or Zwickelbier,Bronze,Bierbaum Keller,Cervejaria Bierbaum,SC
Kentucky Common Beer,Ouro,Eu Sei Common,Cervejaria Salva,RS
Leipzig-Style Gose,Ouro,Salgadinha Da Hank,Hank Bier,PR
Leipzig-Style Gose,Prata,(048) Gose,Cervejaria 048 Ltda,SC
Manipueira Selvagem,Ouro,Alagoas Funky Wild - Safra 2022-2023,Caatinga Rocks,AL
Manipueira Selvagem,Prata,Alagoas Funky Wild - Safra 2023-2024,Caatinga Rocks,AL
Mexican-Style Amber Lager,Ouro,Cervejaria Laut - Fuel Amber Lager,Cervejaria Laut,MG
Mexican-Style Amber Lager,Prata,Copa Do Mundo Series - México,Big Jack Cervejaria,SC
Mexican-Style Dark Lager,Ouro,Mexican Dark Lager,Cervejaria Bellbrück,SC
Mexican-Style Light Lager,Ouro,Muchacho,Big Jack Cervejaria,SC
Mexican-Style Light Lager,Bronze,Mexican Lager,Bucovina Cervejaria,PR
Mexican-Style Pale Lager,Ouro,Lucha Libre,Big Jack Cervejaria,SC
Mexican-Style Pale Lager,Prata,1824 Imigração Lager,Cervejaria Imigração 1824,RS
Mexican-Style Pale Lager,Bronze,Corona,Cervejaria Ambev,RJ
Mixed-Culture Brett Beer,Ouro,Cervejaria Turatti - Torta De Framboesa Com Maracujá,Cervejaria Turatti,CE
Mixed-Culture Brett Beer,Prata,Cacau Brett,Vila Dionísio,SP
Mixed-Culture Brett Beer,Bronze,Saison Gabiroba,Água Do Monge Cervejaria,PR
Munich-Style Dunkel,Prata,Bierbaum Dunkel,Cervejaria Bierbaum,SC
Munich-Style Dunkel,Bronze,Fredericia Dunkel,Fredericia,SP
